list-id-m,4,4,1,48,174066,3626
list-il-m,4,4,1,48,188185,3920
list-dl-m,4,4,1,48,189406,3945
list-idl-m,4,4,1,48,188914,3935
list-i-m,4,8,1,96,164118,1709
list-d-m,4,8,1,96,185119,1928
list-l-m,4,8,1,96,183063,1906
list-id-m,4,8,1,96,179414,1868
list-il-m,4,8,1,96,200909,2092
list-dl-m,4,8,1,96,188636,1964
list-idl-m,4,8,1,96,232088,2417
list-i-m,4,16,1,192,162120,844
list-d-m,4,16,1,192,200412,1043
list-l-m,4,16,1,192,408080,2125
list-id-m,4,16,1,192,280039,1458
list-il-m,4,16,1,192,422594,2201
list-dl-m,4,16,1,192,514708,2680
list-idl-m,4,16,1,192,524460,2731
list-i-m,4,32,1,384,383371,998
list-d-m,4,32,1,384,353955,921
list-l-m,4,32,1,384,1098706,2861
list-id-m,4,32,1,384,390185,1016
list-il-m,4,32,1,384,1440060,3750
list-dl-m,4,32,1,384,1200280,3125
list-idl-m,4,32,1,384,1558779,4059
list-i-m,8,2,1,48,205128,4273
list-d-m,8,2,1,48,215940,4498
list-l-m,8,2,1,48,239785,4995
list-id-m,8,2,1,48,1349778,28120
list-il-m,8,2,1,48,312846,6517
list-dl-m,8,2,1,48,264698,5514
list-idl-m,8,2,1,48,271718,5660
list-i-m,8,4,1,96,259545,2703
list-d-m,8,4,1,96,244543,2547
list-l-m,8,4,1,96,255421,2660
list-id-m,8,4,1,96,259616,2704
list-il-m,8,4,1,96,243338,2534
list-dl-m,8,4,1,96,280908,2926
list-idl-m,8,4,1,96,209113,2178
list-i-m,8,8,1,192,274664,1430
list-d-m,8,8,1,192,245788,1280
list-l-m,8,8,1,192,220696,1149
list-id-m,8,8,1,192,225956,1176
list-il-m,8,8,1,192,348329,1814
list-dl-m,8,8,1,192,264126,1375
list-idl-m,8,8,1,192,447812,2332
list-i-m,8,16,1,384,367246,956
list-d-m,8,16,1,384,573396,1493
list-l-m,8,16,1,384,1033013,2690
list-id-m,8,16,1,384,664836,1731
list-il-m,8,16,1,384,1221786,3181
list-dl-m,8,16,1,384,1107691,2884
list-idl-m,8,16,1,384,1418659,3694
list-i-m,8,32,1,768,1195254,1556
list-d-m,8,32,1,768,1094574,1425
list-l-m,8,32,1,768,4740503,6172
list-id-m,8,32,1,768,1370882,1785
list-il-m,8,32,1,768,3959623,5155
list-dl-m,8,32,1,768,4370690,5691
list-idl-m,8,32,1,768,5049007,6574
list-i-m,12,2,1,72,332436,4617
list-d-m,12,2,1,72,325673,4523
list-l-m,12,2,1,72,292475,4062
list-id-m,12,2,1,72,335640,4661
list-il-m,12,2,1,72,313383,4352
list-dl-m,12,2,1,72,315091,4376
list-idl-m,12,2,1,72,335662,4661
list-i-m,12,4,1,144,301783,2095
list-d-m,12,4,1,144,372434,2586
list-l-m,12,4,1,144,318318,2210
list-id-m,12,4,1,144,302079,2097
list-il-m,12,4,1,144,313630,2177
list-dl-m,12,4,1,144,284430,1975
list-idl-m,12,4,1,144,290832,2019
list-i-m,12,8,1,288,307036,1066
list-d-m,12,8,1,288,285376,990
list-l-m,12,8,1,288,257569,894
list-id-m,12,8,1,288,271225,941
list-il-m,12,8,1,288,644019,2236
list-dl-m,12,8,1,288,721984,2506
list-idl-m,12,8,1,288,705382,2449
list-i-m,12,16,1,576,1182845,2053
list-d-m,12,16,1,576,1135829,1971
list-l-m,12,16,1,576,1894303,3288
list-id-m,12,16,1,576,1078560,1872
list-il-m,12,16,1,576,2498413,4337
list-dl-m,12,16,1,576,2195093,3810
list-idl-m,12,16,1,576,2547752,4423
list-i-m,12,32,1,1152,2143993,1861
list-d-m,12,32,1,1152,1919057,1665
list-l-m,12,32,1,1152,7890559,6849
list-id-m,12,32,1,1152,2239990,1944
list-il-m,12,32,1,1152,7718692,6700
list-dl-m,12,32,1,1152,9916078,8607
list-idl-m,12,32,1,1152,10187172,8843
list-i-m,16,2,1,96,419256,4367
list-d-m,16,2,1,96,373174,3887
list-l-m,16,2,1,96,466342,4857
list-id-m,16,2,1,96,435621,4537
list-il-m,16,2,1,96,413781,4310
list-dl-m,16,2,1,96,1143852,11915
list-idl-m,16,2,1,96,466132,4855
list-i-m,16,4,1,192,448052,2333
list-d-m,16,4,1,192,429901,2239
list-l-m,16,4,1,192,386974,2015
list-id-m,16,4,1,192,396074,2062
list-il-m,16,4,1,192,426967,2223
list-dl-m,16,4,1,192,338807,1764
list-idl-m,16,4,1,192,359723,1873
list-i-m,16,8,1,384,1193520,3108
list-d-m,16,8,1,384,372818,970
list-l-m,16,8,1,384,875946,2281
list-id-m,16,8,1,384,737484,1920
list-il-m,16,8,1,384,1543451,4019
list-dl-m,16,8,1,384,458279,1193
list-idl-m,16,8,1,384,1211286,3154
list-i-m,16,16,1,768,449644,585
list-d-m,16,16,1,768,1386253,1805
list-l-m,16,16,1,768,4448676,5792
list-id-m,16,16,1,768,1514706,1972
list-il-m,16,16,1,768,4930282,6419
list-dl-m,16,16,1,768,2308929,3006
list-idl-m,16,16,1,768,4260299,5547
list-i-m,16,32,1,1536,3088259,2010
list-d-m,16,32,1,1536,3025413,1969
list-l-m,16,32,1,1536,15209229,9901
list-id-m,16,32,1,1536,3051997,1986
list-il-m,16,32,1,1536,14042426,9142
list-dl-m,16,32,1,1536,15060487,9805
list-idl-m,16,32,1,1536,10723640,6981
list-i-m,24,2,1,144,661370,4592
list-d-m,24,2,1,144,532685,3699
list-l-m,24,2,1,144,532956,3701
list-id-m,24,2,1,144,608415,4225
list-il-m,24,2,1,144,554523,3850
list-dl-m,24,2,1,144,571081,3965
list-idl-m,24,2,1,144,643795,4470
list-i-m,24,4,1,288,556794,1933
list-d-m,24,4,1,288,529974,1840
list-l-m,24,4,1,288,548336,1903
list-id-m,24,4,1,288,564622,1960
list-il-m,24,4,1,288,559640,1943
list-dl-m,24,4,1,288,499904,1735
list-idl-m,24,4,1,288,545103,1892
list-i-m,24,8,1,576,530631,921
list-d-m,24,8,1,576,508291,882
list-l-m,24,8,1,576,569985,989
list-id-m,24,8,1,576,621501,1078
list-il-m,24,8,1,576,2285894,3968
list-dl-m,24,8,1,576,2363364,4103
list-idl-m,24,8,1,576,2570859,4463
list-i-m,24,16,1,1152,2135429,1853
list-d-m,24,16,1,1152,2005871,1741
list-l-m,24,16,1,1152,7307585,6343
list-id-m,24,16,1,1152,2264480,1965
list-il-m,24,16,1,1152,8910598,7734
list-dl-m,24,16,1,1152,7207354,6256
list-idl-m,24,16,1,1152,8950974,7769
list-i-m,24,32,1,2304,5111338,2218
list-d-m,24,32,1,2304,5556107,2411
list-l-m,24,32,1,2304,26337872,11431
list-id-m,24,32,1,2304,5669400,2460
list-il-m,24,32,1,2304,36252613,15734
list-dl-m,24,32,1,2304,33258512,14435
list-idl-m,24,32,1,2304,31560831,13698
list-i-s,1,2,1,6,111366,18561
list-d-s,1,2,1,6,114987,19164
list-l-s,1,2,1,6,130260,21710
list-id-s,1,2,1,6,141045,23507
list-il-s,1,2,1,6,129008,21501
list-dl-s,1,2,1,6,60254,10042
list-idl-s,1,2,1,6,86280,14380
list-i-s,1,4,1,12,97314,8109
list-d-s,1,4,1,12,56461,4705
list-l-s,1,4,1,12,59881,4990
list-id-s,1,4,1,12,87318,7276
list-il-s,1,4,1,12,85998,7166
list-dl-s,1,4,1,12,85619,7134
list-idl-s,1,4,1,12,88540,7378
list-i-s,1,8,1,24,88320,3680
list-d-s,1,8,1,24,128298,5345
